schema,table,column,type,max_length,is_nullable,has_default
dbo,lm02,LM02_IDTE,smalldatetime,4,1,0
dbo,lm02,LM02_UCHG,decimal,9,1,0
dbo,lm02,LM02_MIN,char,1,1,0
dbo,lm02,LM02_ID,int,4,0,0
dbo,lm02,LM02_SEQ1,decimal,9,1,0
dbo,lm02,LM02_SEQ2,decimal,9,1,0
dbo,lm02,LM02_RDATE,smalldatetime,4,1,0
dbo,lm02,LM02_FQTY,decimal,9,1,0
dbo,lm02,LM02_FUOM,varchar,2,1,0
dbo,lm02,LM02_DRATE,decimal,9,1,0
dbo,lm02,LM02_OWN,char,1,0,1
dbo,lm02,LM02_LF05ID,int,4,1,0
dbo,lm02,LM02_UCHGUOM,varchar,2,1,0
dbo,lm02,LM02_DRATEUOM,varchar,2,1,0
dbo,lm02,LM02_FINV,varchar,20,1,0
dbo,lm02,LM02_FDAT,smalldatetime,4,1,0
dbo,lm02,LM02_FUSE,varchar,10,1,0
dbo,lm02,LM02_FRDT,smalldatetime,4,1,0
dbo,lm02,LM02_CDATE,smalldatetime,4,1,0
dbo,lm02,LM02_TIN,smalldatetime,4,1,0
dbo,lm02,LM02_TOUT,smalldatetime,4,1,0
dbo,lm02,LM02_CM09ID,int,4,1,0
dbo,lm02,LM02_LM05ID,int,4,1,0
dbo,lm02,LM02_LEED,bit,1,0,1
dbo,lm02,LM02_LEEDWEIGHT,decimal,9,1,0
dbo,lm02,LM02_LEEDWEIGHTUOM,varchar,2,1,0
dbo,lm04,LM04_CODE,varchar,2,0,0
dbo,lm04,LM04_DESC,nvarchar,80,0,0
dbo,lm04,LM04_UOM,varchar,2,1,0
dbo,lm04,LM04_AUX1,nvarchar,30,1,0
dbo,lm04,LM04_AUX2,nvarchar,30,1,0
dbo,lm04,LM04_ACTIVE,bit,1,0,1
dbo,lm04,LM04_DTOT,bit,1,0,1
dbo,lm04,LM04_DMAX,decimal,9,1,0
dbo,lm04,LM04_DMAXUOM,varchar,2,1,0
dbo,lm04,LM04_LEED,bit,1,0,1
dbo,lm04,LM04_SWA,bit,1,0,1
dbo,mt00,MT00_CODE,varchar,2,0,0
dbo,mt00,MT00_DESC,nvarchar,80,0,0
dbo,mt00,MT00_RATE,decimal,9,1,0
dbo,mt00,MT00_ACTIVE,bit,1,0,1
dbo,mt00,MT00_SURCHRG,int,4,0,0
dbo,mt00,MT00_ONCE,bit,1,0,1
dbo,mt00,MT00_SERVNUMBREQ,bit,1,0,1
